BL-29,-81,1658803986.727346,043E2A020100003D4B0089517C1E0201061AFF4C000215F000AAB004514000B00000000000000089004B3DC7AF
BL-31,-81,1658804014.8101535,043E2A020100003D4B0089517C1E0201061AFF4C000215F000AAB004514000B00000000000000089004B3DC7AF
BL-27,-76,1658804014.8298194,043E2A020100003D4B0089517C1E0201061AFF4C000215F000AAB004514000B00000000000000089004B3DC7B4
BL-31,-81,1658804023.0853596,043E2A020100003D4B0089517C1E0201061AFF4C000215F000AAB004514000B00000000000000089004B3DC7AF
BL-27,-76,1658804027.220504,043E2A020100003D4B0089517C1E0201061AFF4C000215F000AAB004514000B00000000000000089004B3DC7B4
BL-31,-86,1658804027.24473,043E2A020100003D4B0089517C1E0201061AFF4C000215F000AAB004514000B00000000000000089004B3DC7AA
BL-28,-84,1658804027.4187083,043E2A020100003D4B0089517C1E0201061AFF4C000215F000AAB004514000B00000000000000089004B3DC7AC
BL-28,-83,1658804034.6226,043E2A020100003D4B0089517C1E0201061AFF4C000215F000AAB004514000B00000000000000089004B3DC7AD
BL-27,-84,1658804035.5067785,043E2A020100003D4B0089517C1E0201061AFF4C000215F000AAB004514000B00000000000000089004B3DC7AC
BL-31,-83,1658804035.532437,043E2A020100003D4B0089517C1E0201061AFF4C000215F000AAB004514000B00000000000000089004B3DC7AD
BL-27,-77,1658804038.6315355,043E2A020100003D4B0089517C1E0201061AFF4C000215F000AAB004514000B00000000000000089004B3DC7B3
BL-31,-80,1658804038.6511393,043E2A020100003D4B0089517C1E0201061AFF4C000215F000AAB004514000B00000000000000089004B3DC7B0
BL-28,-85,1658804038.7223513,043E2A020100003D4B0089517C1E0201061AFF4C000215F000AAB004514000B00000000000000089004B3DC7AB
BL-29,-87,1658804039.2644987,043E2A020100003D4B0089517C1E0201061AFF4C000215F000AAB004514000B00000000000000089004B3DC7A9
BL-27,-81,1658804046.9372904,043E2A020100003D4B0089517C1E0201061AFF4C000215F000AAB004514000B00000000000000089004B3DC7AF
BL-31,-78,1658804046.9454439,043E2A020100003D4B0089517C1E0201061AFF4C000215F000AAB004514000B00000000000000089004B3DC7B2
BL-28,-83,1658804046.9649684,043E2A020100003D4B0089517C1E0201061AFF4C000215F000AAB004514000B00000000000000089004B3DC7AD
BL-28,-81,1658804059.2928412,043E2A020100003D4B0089517C1E0201061AFF4C000215F000AAB004514000B00000000000000089004B3DC7AF
BL-27,-78,1658804059.3661516,043E2A020100003D4B0089517C1E0201061AFF4C000215F000AAB004514000B00000000000000089004B3DC7B2
BL-31,-80,1658804059.3710952,043E2A020100003D4B0089517C1E0201061AFF4C000215F000AAB004514000B00000000000000089004B3DC7B0
BL-28,-80,1658804071.6068547,043E2A020100003D4B0089517C1E0201061AFF4C000215F000AAB004514000B00000000000000089004B3DC7B0
BL-28,-83,1658804074.689111,043E2A020100003D4B0089517C1E0201061AFF4C000215F000AAB004514000B00000000000000089004B3DC7AD
BL-27,-76,1658804074.9116678,043E2A020100003D4B0089517C1E0201061AFF4C000215F000AAB004514000B00000000000000089004B3DC7B4
BL-28,-86,1658804082.918263,043E2A020100003D4B0089517C1E0201061AFF4C000215F000AAB004514000B00000000000000089004B3DC7AA
BL-27,-80,1658804083.1757898,043E2A020100003D4B0089517C1E0201061AFF4C000215F000AAB004514000B00000000000000089004B3DC7B0
BL-31,-80,1658804083.2349768,043E2A020100003D4B0089517C1E0201061AFF4C000215F000AAB004514000B00000000000000089004B3DC7B0
BL-28,-85,1658804087.0117352,043E2A020100003D4B0089517C1E0201061AFF4C000215F000AAB004514000B00000000000000089004B3DC7AB
BL-27,-78,1658804087.31586,043E2A020100003D4B0089517C1E0201061AFF4C000215F000AAB004514000B00000000000000089004B3DC7B2
BL-29,-81,1658804094.906729,043E2A020100003D4B0089517C1E0201061AFF4C000215F000AAB004514000B00000000000000089004B3DC7AF
BL-28,-85,1658804095.2183967,043E2A020100003D4B0089517C1E0201061AFF4C000215F000AAB004514000B00000000000000089004B3DC7AB
BL-31,-78,1658804095.6850233,043E2A020100003D4B0089517C1E0201061AFF4C000215F000AAB004514000B00000000000000089004B3DC7B2
BL-27,-76,1658804098.725342,043E2A020100003D4B0089517C1E0201061AFF4C000215F000AAB004514000B00000000000000089004B3DC7B4
BL-31,-81,1658804098.814371,043E2A020100003D4B0089517C1E0201061AFF4C000215F000AAB004514000B00000000000000089004B3DC7AF
BL-28,-83,1658804099.3224123,043E2A020100003D4B0089517C1E0201061AFF4C000215F000AAB004514000B00000000000000089004B3DC7AD
BL-27,-85,1658804107.012745,043E2A020100003D4B0089517C1E0201061AFF4C000215F000AAB004514000B00000000000000089004B3DC7AB
BL-31,-79,1658804107.1019485,043E2A020100003D4B0089517C1E0201061AFF4C000215F000AAB004514000B00000000000000089004B3DC7B1
